X,Y,Z,E1,E2,mpt,load,contact,real_wire_speed,set_wire_speed
157.1,91.34,284.92,7.66,329.81,701.96823,1.11473,0.32743,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.93516,1.11458,0.32881,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.90916,1.11451,0.33189,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.83212,1.11358,0.34208,0,3.5156
157.1,91.34,284.92,7.66,329.81,701.80345,1.11351,0.33973,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.77841,1.11346,0.34519,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.753,1.11333,0.34679,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.74267,1.11346,0.34214,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.72134,1.1138,0.33829,0,3.5156
157.09,91.34,284.92,7.65,329.81,701.73168,1.11372,0.33536,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.70859,1.11357,0.34344,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.70014,1.11362,0.34475,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.71722,1.11337,0.34027,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.7079,1.11346,0.34057,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.74514,1.1133,0.34657,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.75515,1.11329,0.34186,0,3.5156
157.09,91.34,284.92,7.66,329.81,701.72502,1.11342,0.33531,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.71019,1.11346,0.33624,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.7531,1.11341,0.33612,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.76465,1.11376,0.3287,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.78985,1.1142,0.33179,0,3.5156
157.09,91.34,284.93,7.66,329.81,701.77424,1.1141,0.33834,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.7948,1.11391,0.33323,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.80562,1.1138,0.33244,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.81684,1.11395,0.33032,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.81684,1.11395,0.33032,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.82847,1.11391,0.32468,0,3.5156
157.09,91.34,284.93,7.65,329.81,701.82847,1.11391,0.32468,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.83802,1.11369,0.32478,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.84063,1.11376,0.32487,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.84653,1.11358,0.32118,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.88765,1.1136,0.32698,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.88634,1.11377,0.32567,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.90826,1.11412,0.33076,0,3.5156
157.12,91.28,284.92,7.65,329.88,701.90064,1.1146,0.32577,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.89626,1.11525,0.32607,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.89048,1.11612,0.32519,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.88885,1.11645,0.32501,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.8862,1.11757,0.33212,0,3.5156
157.81,90.07,284.55,7.65,330.31,701.8862,1.11757,0.33212,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.88371,1.11865,0.33065,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.8812,1.12004,0.3341,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.8799,1.12089,0.33675,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.88213,1.12177,0.33693,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.90761,1.12267,0.33735,0,3.5156
158.49,88.66,284.1,7.64,330.81,701.90202,1.12381,0.3424,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.89291,1.12604,0.33958,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.89233,1.1262,0.33847,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.88918,1.1279,0.34072,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.89848,1.1282,0.34008,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.92141,1.12887,0.3412,0,3.5156
159.11,87.24,283.71,7.62,331.25,701.91766,1.12939,0.33961,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.92903,1.13079,0.33466,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.92903,1.13079,0.33466,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.97946,1.13403,0.33468,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.9756,1.13515,0.34348,0,3.5156
159.75,85.85,283.3,7.6,331.75,701.9756,1.13515,0.34348,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.01509,1.1367,0.34942,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.0257,1.13738,0.34579,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.0249,1.13874,0.34667,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.04034,1.13971,0.34693,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.04929,1.14027,0.34647,0,3.5156
160.37,84.43,282.92,7.59,332.25,702.04286,1.14252,0.34538,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.07997,1.1433,0.34949,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.08507,1.1439,0.34521,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.09544,1.14554,0.34242,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.10202,1.14667,0.34388,0,3.5156
161.02,83.02,282.52,7.57,332.75,702.10659,1.14651,0.34985,0,3.5156
162,80.91,281.91,7.54,333.5,702.10838,1.14706,0.34829,0,3.5156
162,80.91,281.91,7.54,333.5,702.11235,1.14869,0.34856,0,3.5156
162,80.91,281.91,7.54,333.5,702.22439,1.1497,0.35045,0,3.5156
162,80.91,281.91,7.54,333.5,702.2088,1.15067,0.34665,0,3.5156
162,80.91,281.91,7.54,333.5,702.19638,1.15167,0.34552,0,3.5156
162,80.91,281.91,7.54,333.5,702.18802,1.15226,0.34772,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.1782,1.15316,0.34976,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.17178,1.15381,0.34902,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.16484,1.1547,0.34759,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.16484,1.1547,0.34759,0,3.5156
162.65,79.51,281.52,7.53,333.94,702.15388,1.1559,0.3426,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.14989,1.15677,0.34172,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.14989,1.15677,0.34172,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.17259,1.15856,0.3431,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.16891,1.15909,0.34258,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.16062,1.1602,0.34031,0,3.5156
163.29,78.1,281.12,7.51,334.44,702.15628,1.1607,0.33997,0,3.5156
163.95,76.7,280.72,7.5,334.94,702.17064,1.16185,0.33941,0,3.5156
163.95,76.7,280.72,7.5,334.94,702.16367,1.16271,0.33841,0,3.5156
163.95,76.7,280.72,7.5,334.94,702.18213,1.16314,0.33576,0,3.5156
163.95,76.7,280.72,7.5,334.94,702.17716,1.16366,0.33824,0,3.5156
163.95,76.7,280.72,7.5,334.94,702.16527,1.16494,0.33522,0,3.5156
163.95,76.7,280.72,7.5,334.94,702.18105,1.16508,0.34117,0,3.5156
164.59,75.29,280.32,7.48,335.44,702.17957,1.16689,0.34077,0,3.5156
164.59,75.29,280.32,7.48,335.44,702.17957,1.16689,0.34077,0,3.5156
164.59,75.29,280.32,7.48,335.44,702.21736,1.16766,0.33834,0,3.5156
164.59,75.29,280.32,7.48,335.44,702.23671,1.16813,0.33834,0,3.5156
164.59,75.29,280.32,7.48,335.44,702.2524,1.16857,0.33555,0,3.5156
164.59,75.29,280.32,7.48,335.44,702.23396,1.16948,0.34184,0,3.5156
165.24,73.88,279.93,7.46,335.94,702.20668,1.17051,0.32994,0,3.5156
165.24,73.88,279.93,7.46,335.94,702.19576,1.17072,0.32844,0,3.5156
165.24,73.88,279.93,7.46,335.94,702.1899,1.17133,0.32921,0,3.5156
165.24,73.88,279.93,7.46,335.94,702.18538,1.17141,0.32854,0,3.5156
165.24,73.88,279.93,7.46,335.94,702.18538,1.17141,0.32854,0,3.5156
165.89,72.47,279.53,7.45,336.44,702.25337,1.17318,0.331,0,3.5156
165.89,72.47,279.53,7.45,336.44,702.24326,1.17354,0.3316,0,3.5156
165.89,72.47,279.53,7.45,336.44,702.23894,1.1751,0.34018,0,3.5156
165.89,72.47,279.53,7.45,336.44,702.25492,1.17592,0.34566,0,3.5156
165.89,72.47,279.53,7.45,336.44,702.26479,1.17618,0.34273,0,3.5156
165.89,72.47,279.53,7.45,336.44,702.31401,1.17645,0.34368,0,3.5156
166.78,70.53,278.99,7.43,337.06,702.31245,1.17718,0.34247,0,3.5156
166.78,70.53,278.99,7.43,337.06,702.31812,1.17735,0.33898,0,3.5156
166.78,70.53,278.99,7.43,337.06,702.33296,1.1774,0.33464,0,3.5156
166.78,70.53,278.99,7.43,337.06,702.34154,1.1782,0.33527,0,3.5156
166.78,70.53,278.99,7.43,337.06,702.3442,1.17842,0.33449,0,3.5156
166.78,70.53,278.99,7.43,337.06,702.35211,1.17884,0.33634,0,3.5156
166.78,70.53,278.99,7.43,337.06,702.33858,1.18078,0.3297,0,3.5156
167.44,69.12,278.58,7.41,337.56,702.34593,1.18097,0.3282,0,3.5156
167.44,69.12,278.58,7.41,337.56,702.33292,1.18127,0.32759,0,3.5156
167.44,69.12,278.58,7.41,337.56,702.33769,1.18156,0.32529,0,3.5156
167.44,69.12,278.58,7.41,337.56,702.33365,1.18322,0.32684,0,3.5156
167.44,69.12,278.58,7.41,337.56,702.33934,1.18351,0.32885,0,3.5156
167.44,69.12,278.58,7.41,337.56,702.34315,1.18355,0.32658,0,3.5156
168.05,67.84,278.19,7.4,338,702.31672,1.18436,0.32149,0,3.5156
168.05,67.84,278.19,7.4,338,702.31672,1.18436,0.32149,0,3.5156
168.05,67.84,278.19,7.4,338,702.32988,1.1849,0.32984,0,3.5156
168.05,67.84,278.19,7.4,338,702.3359,1.18444,0.3269,0,3.5156
168.05,67.84,278.19,7.4,338,702.34432,1.18503,0.32947,0,3.5156
168.05,67.84,278.19,7.4,338,702.34915,1.18556,0.32989,0,3.5156
168.95,65.91,277.65,7.38,338.69,702.35193,1.18573,0.33179,0,3.5156
168.95,65.91,277.65,7.38,338.69,702.34725,1.18703,0.3292,0,3.5156
168.95,65.91,277.65,7.38,338.69,702.35685,1.18754,0.32608,0,3.5156
168.95,65.91,277.65,7.38,338.69,702.35814,1.18763,0.32637,0,3.5156
168.95,65.91,277.65,7.38,338.69,702.38625,1.18798,0.32543,0,3.5156
169.58,64.57,277.27,7.36,339.12,702.3866,1.18855,0.32995,0,3.5156
169.58,64.57,277.27,7.36,339.12,702.35446,1.18924,0.33528,0,3.5156
169.58,64.57,277.27,7.36,339.12,702.38691,1.1893,0.32174,0,3.5156
169.58,64.57,277.27,7.36,339.12,702.40009,1.1898,0.33244,0,3.5156
169.58,64.57,277.27,7.36,339.12,702.39903,1.19009,0.33377,0,3.5156
169.58,64.57,277.27,7.36,339.12,702.39814,1.19013,0.32895,0,3.5156
169.58,64.57,277.27,7.36,339.12,702.39708,1.19044,0.32388,0,3.5156
170.23,63.16,276.87,7.35,339.62,702.39482,1.1916,0.3277,0,3.5156
170.23,63.16,276.87,7.35,339.62,702.39348,1.19264,0.32607,0,3.5156
170.23,63.16,276.87,7.35,339.62,702.39348,1.19264,0.32607,0,3.5156
170.23,63.16,276.87,7.35,339.62,702.40891,1.19354,0.32645,0,3.5156
170.23,63.16,276.87,7.35,339.62,702.40737,1.19365,0.32831,0,3.5156
170.89,61.74,276.47,7.33,340.12,702.42954,1.19371,0.32888,0,3.5156
170.89,61.74,276.47,7.33,340.12,702.44155,1.19436,0.32946,0,3.5156
170.89,61.74,276.47,7.33,340.12,702.49806,1.19415,0.32692,0,3.5156
170.89,61.74,276.47,7.33,340.12,702.49806,1.19415,0.32692,0,3.5156
170.89,61.74,276.47,7.33,340.12,702.51639,1.19518,0.32288,0,3.5156
171.5,60.39,276.12,7.31,340.62,702.52595,1.1954,0.32706,0,3.5156
171.5,60.39,276.12,7.31,340.62,702.49794,1.19604,0.33097,0,3.5156
171.5,60.39,276.12,7.31,340.62,702.50501,1.1962,0.32837,0,3.5156
171.5,60.39,276.12,7.31,340.62,702.52271,1.19646,0.32914,0,3.5156
171.5,60.39,276.12,7.31,340.62,702.52516,1.19682,0.33373,0,3.5156
171.5,60.39,276.12,7.31,340.62,702.53761,1.19703,0.33116,0,3.5156
171.65,60.02,276.04,7.31,340.75,702.54184,1.19706,0.33203,0,3.5156
171.65,60.02,276.04,7.31,340.75,702.55302,1.19704,0.33271,0,3.5156
171.65,60.02,276.04,7.31,340.75,702.56095,1.1972,0.33067,0,3.5156
171.65,60.02,276.04,7.31,340.75,702.57848,1.19784,0.33935,0,3.5156
171.65,60.02,276.04,7.31,340.75,702.59331,1.19789,0.33488,0,3.5156
171.65,60.02,276.04,7.31,340.75,702.5745,1.19813,0.33776,0,3.5156
171.65,60.02,276.04,7.31,340.75,702.58102,1.19819,0.33477,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.58693,1.19814,0.33896,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.59724,1.1985,0.33193,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.57094,1.19761,0.32841,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.58562,1.19752,0.32721,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.59978,1.1982,0.3179,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.61649,1.19818,0.31992,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.53636,1.19811,0.32219,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.53636,1.19811,0.32219,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.53636,1.19811,0.32219,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.57304,1.19766,0.31849,0,3.5156
171.65,60.02,276.03,7.31,340.75,702.58375,1.19765,0.32019,0,3.5156
171.65,60.03,276.03,7.31,340.75,702.59204,1.19695,0.31371,0,3.5156
171.65,60.03,276.03,7.31,340.75,702.60217,1.19702,0.31351,0,3.5156
171.65,60.03,276.03,7.31,340.75,702.60618,1.19724,0.31577,0,3.5156
171.65,60.03,276.03,7.31,340.75,702.61306,1.19732,0.31871,0,3.5156
171.65,60.03,276.03,7.31,340.75,702.61958,1.19752,0.32455,0,3.5156
171.65,60.03,276.03,7.31,340.75,702.62162,1.19763,0.32413,0,3.5156
171.64,60.05,276.03,7.31,340.69,702.62911,1.19772,0.33636,0,3.5156
171.64,60.05,276.03,7.31,340.69,702.64098,1.1978,0.33601,0,3.5156
171.64,60.05,276.03,7.31,340.69,702.64128,1.19782,0.33651,0,3.5156
171.64,60.05,276.03,7.31,340.69,702.64214,1.19784,0.33819,0,3.5156
171.64,60.05,276.03,7.31,340.69,702.6425,1.19776,0.33776,0,3.5156
171.64,60.05,276.03,7.31,340.69,702.64314,1.19756,0.33777,0,3.5156
171.64,60.05,276.03,7.31,340.69,702.64379,1.19747,0.33325,0,3.5156
171.64,60.06,276.03,7.31,340.69,702.66989,1.19644,0.33511,0,3.5156
171.64,60.06,276.03,7.31,340.69,702.70103,1.19659,0.32877,0,3.5156
171.64,60.06,276.03,7.31,340.69,702.69649,1.19673,0.32915,0,3.5156
171.64,60.06,276.03,7.31,340.69,702.68951,1.19694,0.32792,0,3.5156
171.64,60.06,276.03,7.31,340.69,702.69737,1.19698,0.32802,0,3.5156
171.63,60.07,276.03,7.31,340.69,720.58206,1.19766,0.32817,0,3.5156
171.63,60.07,276.03,7.31,340.69,720.58206,1.19766,0.32817,0,3.5156
171.63,60.07,276.03,7.31,340.69,949.66618,1.19777,0.24414,0,3.5156
171.63,60.07,276.03,7.31,340.69,1020.05856,1.19784,0.63025,0,3.5156
171.63,60.07,276.03,7.31,340.69,1020.05856,1.19784,0.63025,0,3.5156
171.63,60.07,276.03,7.31,340.69,1175.71888,1.19767,1.33253,0,3.5156
171.63,60.07,276.03,7.31,340.69,1309.49784,1.19784,1.85703,0,3.5156
171.86,59.41,276.02,7.31,340.94,1506.55303,1.19749,2.54853,0,3.5156
171.86,59.41,276.02,7.31,340.94,1506.55303,1.19749,2.54853,0,3.5156
171.86,59.41,276.02,7.31,340.94,1716.89191,1.19673,3.22716,0,3.5156
171.86,59.41,276.02,7.31,340.94,1767.81779,1.1968,3.38127,0,3.5156
171.86,59.41,276.02,7.31,340.94,1815.01122,1.19687,3.52157,0,3.5156
171.86,59.41,276.02,7.31,340.94,1917.30625,1.19712,3.33038,0,3.5156
172.14,58.61,276.02,7.31,341.19,1967.63308,1.19714,3.53861,0,3.5156
172.14,58.61,276.02,7.31,341.19,2072.39894,1.19726,3.96666,0,3.5156
172.14,58.61,276.02,7.31,341.19,2094.53648,1.19729,4.05611,0,3.5156
172.14,58.61,276.02,7.31,341.19,2112.55911,1.19732,4.12869,0,3.5156
172.14,58.61,276.02,7.31,341.19,2133.29354,1.19714,4.21145,0,3.5156
172.42,57.79,276.02,7.31,341.5,2178.79558,1.19645,4.39332,0,3.5156
172.42,57.79,276.02,7.31,341.5,2199.48177,1.19667,4.11871,0,3.5156
172.42,57.79,276.02,7.31,341.5,2227.44772,1.19666,4.26522,0,3.5156
172.42,57.79,276.02,7.31,341.5,2231.01732,1.19667,4.29084,0,3.5156
172.42,57.79,276.02,7.31,341.5,2245.89829,1.19632,4.3117,0,3.5156
172.42,57.79,276.02,7.31,341.5,2253.03654,1.19651,4.18379,0,3.5156
172.67,57.04,276.02,7.31,341.69,2259.70686,1.19662,4.25903,0,3.5156
172.67,57.04,276.02,7.31,341.69,2264.33899,1.19659,4.31179,0,3.5156
172.67,57.04,276.02,7.31,341.69,2272.61782,1.19709,4.40509,0,3.5156
