loop_time,x,y,z,angle_x,angle_y,angle_z,layer,do1,rwfs,swfs,tcp_speed_output
0.13209520000964403,155.33,-180.59,565.98,-179.52,-0.25,178.13,1.0,0.0,8.0,8.0,0.1
0.01388710003811866,155.47,-180.1,564.89,-179.52,-0.25,178.13,1.0,0.0,8.0,8.0,0.1
0.014352799975313246,155.64,-179.46,563.43,-179.52,-0.26,178.13,1.0,0.0,8.0,8.0,0.1
0.01446919998852536,155.83,-178.83,561.94,-179.52,-0.26,178.13,1.0,0.0,8.0,8.0,0.1
0.013149600010365248,156.0,-178.21,560.46,-179.51,-0.26,178.13,1.0,0.0,8.0,8.0,0.1
0.014230200031306595,156.18,-177.57,559.0,-179.51,-0.26,178.13,1.0,0.0,8.0,8.0,0.1
0.01497020001988858,156.32,-177.07,557.9,-179.52,-0.26,178.13,1.0,0.0,8.0,8.0,0.1
0.014274400018621236,156.48,-176.44,556.42,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.014266900019720197,156.66,-175.81,554.94,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.016428900009486824,156.87,-175.16,553.49,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.012839500035624951,157.06,-174.53,552.04,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015280299994628876,157.24,-173.9,550.55,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015013299998827279,157.37,-173.42,549.44,-179.51,-0.26,178.13,1.0,0.0,8.0,8.0,0.1
0.015059400000609457,157.55,-172.8,547.99,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015580100007355213,157.74,-172.16,546.53,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.013086799997836351,157.92,-171.53,545.04,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015696299960836768,158.09,-170.92,543.55,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
0.015274300007149577,158.23,-170.44,542.45,-179.51,-0.26,178.12,1.0,0.0,8.0,8.0,0.1
